datetime,actual,prediction,residual,abs_error,hour,day,month,year,day_of_week,model
2022-01-01 12:00:00,7,10.355135483631829,-3.3551354836318286,3.3551354836318286,12,1,1,2022,Saturday,SARIMA
2022-01-01 13:00:00,8,9.99330254824219,-1.9933025482421893,1.9933025482421893,13,1,1,2022,Saturday,SARIMA
2022-01-01 14:00:00,10,12.166293252810675,-2.166293252810675,2.166293252810675,14,1,1,2022,Saturday,SARIMA
2022-01-01 15:00:00,11,13.577683856616888,-2.577683856616888,2.577683856616888,15,1,1,2022,Saturday,SARIMA
2022-01-01 16:00:00,4,13.759760649498656,-9.759760649498656,9.759760649498656,16,1,1,2022,Saturday,SARIMA
2022-01-01 17:00:00,22,16.92362818330822,5.076371816691779,5.076371816691779,17,1,1,2022,Saturday,SARIMA
2022-01-01 18:00:00,12,14.69209300216402,-2.69209300216402,2.69209300216402,18,1,1,2022,Saturday,SARIMA
2022-01-01 19:00:00,8,13.66704303501413,-5.66704303501413,5.66704303501413,19,1,1,2022,Saturday,SARIMA
2022-01-01 20:00:00,13,12.223341318242483,0.7766586817575174,0.7766586817575174,20,1,1,2022,Saturday,SARIMA
2022-01-01 21:00:00,13,10.364453006779128,2.6355469932208724,2.6355469932208724,21,1,1,2022,Saturday,SARIMA
2022-01-01 22:00:00,9,8.777420549227164,0.22257945077283559,0.22257945077283559,22,1,1,2022,Saturday,SARIMA
2022-01-01 23:00:00,6,8.455918094040644,-2.455918094040644,2.455918094040644,23,1,1,2022,Saturday,SARIMA
2022-01-02 00:00:00,8,11.654048450014654,-3.6540484500146544,3.6540484500146544,0,2,1,2022,Sunday,SARIMA
2022-01-02 01:00:00,8,6.945304180253793,1.0546958197462066,1.0546958197462066,1,2,1,2022,Sunday,SARIMA
2022-01-02 02:00:00,3,6.579610461071624,-3.579610461071624,3.579610461071624,2,2,1,2022,Sunday,SARIMA
2022-01-02 03:00:00,5,5.926995219111249,-0.9269952191112489,0.9269952191112489,3,2,1,2022,Sunday,SARIMA
2022-01-02 04:00:00,10,6.716476220902635,3.283523779097365,3.283523779097365,4,2,1,2022,Sunday,SARIMA
2022-01-02 05:00:00,3,6.936316589875521,-3.9363165898755206,3.9363165898755206,5,2,1,2022,Sunday,SARIMA
2022-01-02 06:00:00,2,8.502871206889242,-6.5028712068892425,6.5028712068892425,6,2,1,2022,Sunday,SARIMA
2022-01-02 07:00:00,3,9.558985999583975,-6.5589859995839745,6.5589859995839745,7,2,1,2022,Sunday,SARIMA
2022-01-02 08:00:00,9,13.388721395823499,-4.388721395823499,4.388721395823499,8,2,1,2022,Sunday,SARIMA
2022-01-02 09:00:00,3,11.267244798329465,-8.267244798329465,8.267244798329465,9,2,1,2022,Sunday,SARIMA
2022-01-02 10:00:00,6,10.79736176074461,-4.797361760744611,4.797361760744611,10,2,1,2022,Sunday,SARIMA
2022-01-02 11:00:00,6,11.698360297391806,-5.698360297391806,5.698360297391806,11,2,1,2022,Sunday,SARIMA
2022-01-02 12:00:00,9,13.619706742306924,-4.619706742306924,4.619706742306924,12,2,1,2022,Sunday,SARIMA
2022-01-02 13:00:00,6,13.048581663743164,-7.048581663743164,7.048581663743164,13,2,1,2022,Sunday,SARIMA
2022-01-02 14:00:00,10,14.91881137204993,-4.91881137204993,4.91881137204993,14,2,1,2022,Sunday,SARIMA
2022-01-02 15:00:00,11,15.323070938591806,-4.3230709385918065,4.3230709385918065,15,2,1,2022,Sunday,SARIMA
2022-01-02 16:00:00,9,15.311429681031377,-6.3114296810313775,6.3114296810313775,16,2,1,2022,Sunday,SARIMA
2022-01-02 17:00:00,9,17.75184261955,-8.75184261955,8.75184261955,17,2,1,2022,Sunday,SARIMA
2022-01-02 18:00:00,10,15.454360394525224,-5.454360394525224,5.454360394525224,18,2,1,2022,Sunday,SARIMA
2022-01-02 19:00:00,12,14.257915202779897,-2.2579152027798965,2.2579152027798965,19,2,1,2022,Sunday,SARIMA
2022-01-02 20:00:00,9,12.380048965433465,-3.380048965433465,3.380048965433465,20,2,1,2022,Sunday,SARIMA
2022-01-02 21:00:00,6,10.613955649390055,-4.613955649390055,4.613955649390055,21,2,1,2022,Sunday,SARIMA
2022-01-02 22:00:00,7,9.611406120292852,-2.611406120292852,2.611406120292852,22,2,1,2022,Sunday,SARIMA
2022-01-02 23:00:00,5,8.76128189104352,-3.76128189104352,3.76128189104352,23,2,1,2022,Sunday,SARIMA
2022-01-03 00:00:00,8,11.93450659878675,-3.9345065987867507,3.9345065987867507,0,3,1,2022,Monday,SARIMA
2022-01-03 01:00:00,9,6.8641515782534155,2.1358484217465845,2.1358484217465845,1,3,1,2022,Monday,SARIMA
2022-01-03 02:00:00,1,5.731052160699669,-4.731052160699669,4.731052160699669,2,3,1,2022,Monday,SARIMA
2022-01-03 03:00:00,2,5.357159520783905,-3.357159520783905,3.357159520783905,3,3,1,2022,Monday,SARIMA
2022-01-03 04:00:00,4,6.113869043022243,-2.113869043022243,2.113869043022243,4,3,1,2022,Monday,SARIMA
2022-01-03 05:00:00,5,6.164937849141371,-1.1649378491413707,1.1649378491413707,5,3,1,2022,Monday,SARIMA
2022-01-03 06:00:00,6,8.040133577051716,-2.0401335770517157,2.0401335770517157,6,3,1,2022,Monday,SARIMA
2022-01-03 07:00:00,8,9.627939607299812,-1.6279396072998118,1.6279396072998118,7,3,1,2022,Monday,SARIMA
2022-01-03 08:00:00,4,13.704318798799672,-9.704318798799672,9.704318798799672,8,3,1,2022,Monday,SARIMA
2022-01-03 09:00:00,10,11.923752836957583,-1.9237528369575827,1.9237528369575827,9,3,1,2022,Monday,SARIMA
2022-01-03 10:00:00,7,11.054222371382666,-4.054222371382666,4.054222371382666,10,3,1,2022,Monday,SARIMA
2022-01-03 11:00:00,8,12.210819969241566,-4.210819969241566,4.210819969241566,11,3,1,2022,Monday,SARIMA
2022-01-03 12:00:00,6,13.91448080920814,-7.91448080920814,7.91448080920814,12,3,1,2022,Monday,SARIMA
2022-01-03 13:00:00,12,13.323597621407655,-1.3235976214076555,1.3235976214076555,13,3,1,2022,Monday,SARIMA
