feature,importance
vehicle_category,0.31472117707612923
hour,0.22076232003001384
LONGITUDE,0.17449169225591302
LATITUDE,0.14384233292168155
ZIP CODE,0.09035449536525458
BOROUGH,0.0469963429715329
day_of_week,0.0035765046255570266
CONTRIBUTING FACTOR VEHICLE 1,0.0033105597243513834
is_weekend,0.0019445750295665643
